"ID","f1","f2","f3","amp11","amp12","amp13","amp14","amp21","amp22","amp23","amp24","amp31","amp32","amp33","amp34","phi12","phi13","phi14","phi21","phi22","phi23","phi24","phi31","phi32","phi33","phi34","trend","varrat","varred","CLASS"
"HIP 106801            ",0.28306801,0.90521498,1.77170087,0.0082,0.004,0.0054,0.0053,0.0091,0.0069,0.0025,0.0012,0.0072,0.0016,0.0019,0.0015,-1.9375,-1.9146,-2.4323,-0.1757,-2.621,1.4699,1.1171,-1.699,2.1982,2.1404,-0.4825,0,0.5457,0.8725,"PVSG"
"HIP 54179             ",9.99621622,0.08240633,10.83798739,0.0131,0.0028,0.0016,0.0012,0.0137,0.0117,0.0051,0.0053,0.0118,0.002,0.0022,0.0017,-0.4194,0.519,0.8358,-1.7242,-2.7159,1.2174,-0.7596,1.5305,1.1012,2.251,-2.5326,0,0.6015,0.7995,"PVSG"
"HIP 79790             ",2.3016809,10.89445783,15.73049799,0.0038,0.0016,0.0013,0.0011,0.0032,5e-04,2e-04,8e-04,0.0028,7e-04,0.0016,7e-04,-1.8411,2.665,-1.7948,-1.6512,1.2169,-2.2367,0.6613,1.8283,-0.293,0.1921,0.5841,0,0.7344,0.6207,"PVSG"
"HIP 56050             ",0.89429709,1.20856595,0.92403748,0.0209,0.0031,0.0066,0.0011,0.0167,0.0088,0.0045,0.0019,0.0131,0.0043,0.006,0.001,0.6071,-2.5249,0.7723,-0.7874,-2.2155,2.9138,3.0319,1.3587,-2.35,-0.3787,2.035,0,0.6123,0.8453,"PVSG"
"HIP 35561             ",6.18539765,15.07162019,10.90764943,0.009,0.0012,9e-04,0.0031,0.0063,0.0011,0.0039,0.0011,0.0048,0.0022,6e-04,0.0016,-0.625,0.6722,-1.8004,-3.1229,-3.1412,0.7336,0.6116,-0.8367,2.9302,1.7812,-0.4418,0,0.666,0.808,"PVSG"
"HIP 67642             ",11.7318139,7.99188844,1.37626111,0.0143,0.0099,0.001,0.0027,0.0137,0.0048,0.0018,0.0025,0.011,0.0013,0.0018,0.002,-2.4136,-2.9971,1.7095,1.1273,0.9152,-3.1267,-2.887,0.8332,2.765,-0.8079,-2.4068,0,0.7319,0.6005,"PVSG"
"HIP 37444             ",11.07593006,1.25233108,12.37251045,0.0113,0.0051,0.0011,0.0015,0.0143,0.003,0.0058,0.0073,0.0136,0.0027,0.0016,0.0016,-1.1894,-0.1826,1.9348,2.0608,-1.6247,1.8472,-2.3323,2.8989,-2.0816,2.3129,2.4702,0,0.7297,0.5999,"PVSG"
"HD 269006             ",0.4405346,0.628478,0.24583065,0.0732,0.0027,0.0219,0.006,0.0451,0.0079,0.026,0.013,0.0436,0.011,0.0071,0.0189,-0.9218,-2.7006,0.5117,0.0886,3.1311,-2.6137,-2.2485,2.3182,2.3624,-0.2965,-0.2613,-1e-04,0.5405,0.8055,"PVSG"
"HIP 89439             ",0.45290573,0.76811178,1.94013642,0.0091,0.0041,0.0028,0.003,0.0065,0.0016,9e-04,0.0012,0.0052,0.0017,0.0051,0.003,-2.3465,-0.0255,-2.6141,0.885,-0.8317,-0.7429,-2.0329,-1.9629,0.4161,2.4531,-2.2829,0,0.4943,0.8932,"PVSG"
"HIP 85020             ",0.40660958,11.57572097,7.97153279,0.0183,0.0126,0.0051,0.0011,0.0097,0.0032,0.0016,9e-04,0.0064,0.0021,0.0032,8e-04,0.6477,2.4239,-0.4135,2.7031,2.1861,0.5629,-0.5827,-1.2486,-2.204,0.1905,-1.1162,0,0.2444,0.9046,"PVSG"
"HIP 27868             ",5.00112621,14.97934146,14.06872451,0.0413,0.0143,0.0242,0.0096,0.0471,0.0152,0.0204,0.0116,0.0331,0.0194,0.0078,0.01,2.5977,2.4149,-2.6641,0.6905,-0.7041,-0.0644,0.7821,-2.3938,-1.1305,1.1864,-2.2438,1e-04,0.686,0.726,"PVSG"
"HIP 13178             ",0.05781541,0.0165441,14.38998902,0.0065,0.0021,0.0026,0.0017,0.0074,0.0068,0.0064,0.0074,0.0045,6e-04,7e-04,4e-04,-2.0529,1.079,-2.6484,-2.8933,-0.9226,-0.095,0.2513,0.2457,2.5397,1.8773,1.1597,0,0.5912,0.7521,"PVSG"
"HIP 24080             ",0.57925084,0.08894009,9.53863464,0.1528,0.0435,0.0301,0.0217,0.0743,0.0475,0.065,0.031,0.0447,0.0103,0.0188,0.004,-1.1071,-2.1851,-2.9271,-1.4848,2.1611,-1.4018,1.3198,-1.1517,-2.9588,-2.9241,1.8143,-1e-04,0.362,0.9282,"PVSG"
"HIP 80782             ",0.20802258,0.0110374,12.84143361,0.02,0.0051,0.0034,0.0011,0.0123,0.0064,0.0051,0.0054,0.003,5e-04,0.0013,6e-04,2.7885,1.539,-0.5419,2.1566,-0.0019,1.7579,-0.1339,1.0235,1.1574,-2.6136,-0.9494,1e-04,0.1324,0.9657,"PVSG"
"HIP 23527             ",0.06818684,3.6349418,12.85165696,0.0597,0.0168,0.01,0.018,0.0375,0.0134,0.0012,0.0127,0.0312,0.0148,0.0067,0.0014,-2.3299,2.7329,0.9753,-2.4999,-2.4302,3.1409,-2.322,-1.8845,-2.6632,-2.4623,2.4388,0,0.6347,0.6387,"PVSG"
"HIP 108165            ",0.7091991,0.14574211,0.17280366,0.0123,0.002,0.0039,0.0032,0.0089,0.004,0.005,0.0047,0.0134,0.0032,0.0026,0.0045,1.0562,0.2162,0.4633,2.2817,-0.8515,-0.3994,2.0576,0.9874,-2.4357,0.3499,-0.2048,0,0.5275,0.87,"PVSG"
"HIP 25448             ",0.12348603,10.33659527,11.25928568,0.0425,0.0145,0.0086,0.0071,0.0221,0.0115,0.0099,0.0096,0.0171,0.0057,0.0097,0.0022,-1.9504,1.4683,0.6121,-3.0854,-1.4528,-2.2429,-2.6541,-0.4882,-1.9041,2.5757,0.9694,0,0.5474,0.8209,"PVSG"
"HIP 51232             ",1.12913767,5.62545696,1.72696241,0.0033,6e-04,3e-04,0.0013,0.0028,0.0011,4e-04,1e-04,0.0019,6e-04,6e-04,0.0014,1.2261,1.1034,-1.3601,-0.6335,-1.5729,1.4555,-0.0407,0.5984,2.6144,0.738,-0.5509,0,0.7441,0.5756,"PVSG"
"HIP 56250             ",0.53745859,0.34607047,1.718952,0.0115,0.0055,0.0035,0.0051,0.0104,7e-04,0.0048,8e-04,0.0069,0.0021,9e-04,0.001,0.039,3.0385,-0.6282,0.7359,-1.1353,-1.536,-1.6179,0.1925,-1.2319,2.3997,0.9157,0,0.5206,0.7934,"PVSG"
"HIP 5714              ",11.65448572,9.25918612,0.40275568,0.0278,0.0084,0.0038,0.0079,0.0164,0.0054,0.0054,0.0056,0.028,0.0104,0.0118,0.0071,-1.4979,-0.8127,0.4597,-2.4097,-0.2483,-2.3715,1.3864,1.4368,0.4264,-0.5251,-1.6913,0,0.6364,0.7245,"PVSG"
"HIP 88380             ",9.17302942,15.0088903,13.50441127,0.004,8e-04,0.0014,8e-04,0.0036,7e-04,0.0021,0.0016,0.0036,0.0018,0.0015,7e-04,-0.1786,-1.4447,-0.7694,-0.5787,0.3847,2.5934,1.0012,-2.9691,-0.9892,1.5081,-2.3894,0,0.7023,0.7788,"PVSG"
"HIP 23663             ",1.38756311,14.82808728,5.12882438,0.0087,0.001,8e-04,0.0028,0.0053,0.0034,0.0016,0.0019,0.0049,0.0017,0.0018,3e-04,-2.947,1.3291,2.3314,-0.9295,0.8841,-1.0796,1.719,-0.0491,-2.7372,-0.0225,-2.2707,0,0.7177,0.6006,"PVSG"
"HIP 54461             ",0.29494627,1.3184169,12.82583053,0.0183,0.0086,0.0057,0.0103,0.0109,0.0053,0.0025,0.0017,0.0088,0.0012,5e-04,0.0048,1.4509,1.2182,0.927,0.9338,1.309,0.7028,0.0828,1.1789,1.4117,1.9765,1.5035,0,0.4339,0.8402,"PVSG"
"HIP 26135             ",0.40863714,12.61111105,1.40445308,0.0356,0.0129,0.0082,0.0153,0.0229,0.0054,0.0033,0.0031,0.0254,0.0042,0.0093,0.0075,-1.8353,2.4195,2.7124,-2.0365,-0.4466,1.5443,2.2723,-1.7868,-1.8203,2.3898,0.4432,0,0.574,0.8219,"PVSG"
"HIP 95572             ",10.80412624,13.7588839,6.42141844,0.0037,0.0019,0.0014,3e-04,0.0033,7e-04,5e-04,0.0012,0.003,7e-04,7e-04,7e-04,-1.4757,-2.5824,2.2672,0.982,-0.4455,1.2176,1.4955,-3.135,-1.1957,-1.7033,0.3516,0,0.6857,0.648,"PVSG"
"HIP 45467             ",10.96813143,0.66352903,11.53967672,0.0249,0.0104,0.0016,0.0055,0.0278,0.0046,0.0048,0.0051,0.0245,0.0077,0.0064,0.0024,-1.5938,-1.1486,-1.2244,-1.5089,3.0147,0.0279,-2.5162,-1.5792,2.4368,-2.503,0.6195,-1e-04,0.5029,0.8379,"PVSG"
"HIP 24988             ",0.00379323,0.14578074,0.92089289,0.102,0.0038,0.0203,0.0263,0.0377,0.0072,0.0081,0.0122,0.0298,0.0077,0.0029,0.0024,0.8693,0.1793,2.7345,-2.9992,0.5519,-0.2099,-1.7122,-2.3219,0.0205,-1.3273,-1.0801,0,0.232,0.9222,"PVSG"
"HIP 67261             ",0.00149048,0.17955922,10.82659703,0.1147,0.0158,0.0134,0.0071,0.0215,0.0078,0.0018,0.0031,0.0122,5e-04,0.0032,0.002,1.9163,0.626,2.067,2.9973,1.3993,-2.4213,-2.9558,-2.4029,1.792,2.5671,-0.6554,-1e-04,0.0951,0.9561,"PVSG"
"HIP 102724            ",0.20466176,1.00700183,0.45989349,0.0158,0.0041,0.0042,0.0035,0.01,0.0019,6e-04,0.0016,0.0058,0.004,0.0021,0.0045,0.5789,0.4341,-1.8685,-1.2021,2.6678,-0.4655,1.849,2.0435,-0.1581,-2.1575,-2.7579,0,0.4744,0.8882,"PVSG"
"HIP 23718             ",0.03698367,0.31925857,10.39663288,0.0378,0.0195,0.0021,0.014,0.0301,0.0049,0.009,0.0078,0.0139,0.0043,0.0025,0.0039,-1.2322,1.4353,0.4658,2.5138,1.1779,-2.2689,2.9013,-1.1923,1.8883,0.6346,2.5319,0,0.4185,0.8498,"PVSG"
"HIP 46093             ",0.05415254,10.48388048,9.89918873,0.0079,2e-04,0.0012,0.0013,0.0055,0.0017,2e-04,3e-04,0.0053,2e-04,9e-04,0.002,-2.9922,-1.2589,-0.1617,-1.7176,-2.8663,-0.482,-1.8538,-1.643,-2.4837,-0.7856,3.1121,0,0.6907,0.6035,"PVSG"
"HIP 37089             ",5.4049393,3.95734008,11.14074269,0.0085,0.003,0.0014,1e-04,0.0049,6e-04,0.002,0.001,0.0047,6e-04,0.0035,9e-04,2.1348,-2.8674,1.5055,3.0907,-1.9328,-1.0764,2.2119,-2.7237,2.742,2.6545,2.7404,0,0.6552,0.7325,"PVSG"
"HIP 25615             ",0.20035295,0.3111333,13.73426373,0.077,0.0189,0.0137,0.0194,0.0442,0.0084,0.01,0.0268,0.0413,0.0032,0.0052,0.0076,0.9016,-0.0914,-0.2029,2.8579,3.0351,1.5154,2.5152,0.2508,-2.4422,2.6611,2.4023,0,0.4507,0.8425,"PVSG"
"HIP 35228             ",12.3401786,10.31378647,14.79724266,0.0031,6e-04,8e-04,7e-04,0.0026,5e-04,9e-04,0.0012,0.0021,7e-04,5e-04,3e-04,0.426,-0.3661,-0.671,2.8346,3.0619,2.4449,-2.4947,2.1483,-2.2007,2.7737,-2.6138,0,0.7801,0.577,"PVSG"
"HIP 24347             ",0.77965675,0.0944373,7.4809881,0.0826,0.0419,0.0319,0.0136,0.0595,0.0358,0.018,0.0302,0.0361,0.0089,0.0081,0.0223,-1.9905,-1.9893,-1.9097,1.2885,1.2643,0.9603,-0.2784,1.1686,0.8089,0.3768,1.0281,3e-04,0.4344,0.8595,"PVSG"
"                      ",0.00768047,0.0180491,0.11610308,0.1049,0.0353,0.1409,0.102,0.0769,0.0627,0.082,0.0307,0.0323,0.0041,0.0182,0.0066,2.7612,2.1139,2.9234,2.434,-0.3063,1.214,2.2691,0.1315,-0.9476,2.6905,-2.8341,0,0.223,0.9858,"PVSG"
"HD 92207              ",0.82061717,0.29811415,1.19558277,0.0251,0.0055,0.0028,0.0033,0.0177,0.0089,0.0063,0.0024,0.0124,0.0038,0.005,0.0018,1.8014,2.6707,-1.9032,-3.1047,0.2822,0.6683,-2.495,1.0564,-2.144,-2.5826,-0.5036,1e-04,0.4872,0.8898,"PVSG"
"HIP 58998             ",0.44726916,0.87631134,0.20155869,0.0249,0.0052,0.0028,0.0051,0.0168,0.001,2e-04,0.0024,0.014,0.0027,0.0045,0.0017,-2.6669,0.0724,-2.8314,-3.1181,0.4273,-0.6959,-0.6479,2.7628,1.1385,1.0443,-1.9446,0,0.4935,0.805,"PVSG"
"HIP 45556             ",1.77503639,11.65972053,1.59858317,0.0031,2e-04,4e-04,5e-04,0.0022,9e-04,0.0013,0.0013,0.002,4e-04,5e-04,8e-04,-2.1345,2.1724,2.4612,1.3179,1.9453,-1.7843,1.9641,0.1425,0.8962,-1.4025,1.7747,0,0.7458,0.6105,"PVSG"
"HIP 98863             ",0.26555928,0.40393629,0.31496762,0.0241,0.0061,0.0077,0.0012,0.0171,0.0025,0.0012,0.0044,0.0103,0.0019,0.0048,0.0048,0.0207,1.3932,2.8128,-2.0973,-0.6451,2.3772,-0.3476,-0.9331,-1.341,-3.0016,0.718,0,0.5424,0.7921,"PVSG"
"HIP 5267              ",0.06571378,0.06971618,6.32602187,0.0407,0.0018,0.0174,0.0077,0.0374,0.0052,0.0143,0.0158,0.0177,0.0054,0.0027,0.0037,1.44,-0.4097,2.1956,-0.8876,-2.8729,1.7984,2.2171,0.3003,2.9187,-2.0346,3.0836,-2e-04,0.5865,0.7278,"PVSG"
"HIP 43082             ",0.92067875,0.4516815,0.20969381,0.0115,0.003,0.0034,0.0014,0.014,0.0032,0.002,0.0025,0.0065,0.0017,0.0052,0.0048,-2.0171,-0.0511,-0.2843,-2.4368,-1.8523,-0.8873,-2.2216,-1.5096,-0.6852,0.7486,-2.1838,0,0.5521,0.8312,"PVSG"
"HIP 23177             ",0.03160278,0.22669475,10.90315283,0.0891,0.0453,0.0221,0.0373,0.0551,0.0299,0.0083,0.0166,0.0269,0.0061,0.0068,0.0075,-2.1096,2.7365,2.7511,2.1207,1.768,-0.6469,2.7753,-2.9701,-0.4949,2.4603,-1.8684,-1e-04,0.3795,0.8966,"PVSG"
"HIP 57808             ",0.33551703,0.8433036,10.44784043,0.0164,0.0033,0.0021,0.005,0.0105,0.0034,0.0018,0.0034,0.0088,0.0017,0.0011,2e-04,2.9318,-2.3128,0.8203,-1.5231,-0.6442,2.2937,-0.4574,-0.6335,-0.1241,1.0729,-2.4321,0,0.5572,0.7204,"PVSG"
"HIP 45675             ",0.1727836,0.0965321,10.51208003,0.0302,0.0087,0.0078,0.0051,0.0211,0.0114,0.0064,0.0058,0.0076,0.002,0.0017,0.0014,-1.4228,1.7617,-0.816,2.6828,2.9066,-2.6987,-2.0203,-2.1058,-0.4779,-1.99,-2.1354,0,0.4078,0.9185,"PVSG"
"HIP 11060             ",11.14574414,0.11450998,11.51641718,0.0197,0.0022,0.0064,6e-04,0.0123,0.0046,0.0068,0.0051,0.0083,0.0032,6e-04,0.0018,1.846,-0.1786,0.9943,-1.2771,2.3952,-2.3714,-0.8425,2.1253,-0.0024,-1.8322,-1.3992,0,0.4403,0.8602,"PVSG"
"HIP 51576             ",0.92975125,0.33170858,0.93182389,0.0348,0.014,0.0085,0.0017,0.0427,0.0184,0.0159,0.0053,0.0322,0.0171,0.0118,0.0036,-3.0916,2.4935,-1.1668,2.9222,2.7391,0.0637,0.6684,2.0972,1.1803,2.4273,-1.3475,1e-04,0.5619,0.8862,"BE"
"HIP 67472             ",0.56208601,0.48255383,0.8904968,0.022,0.0087,9e-04,0.0032,0.0152,0.0015,0.0019,0.0021,0.0079,5e-04,0.0022,0.003,-0.5622,-0.74,2.1132,-2.1078,2.8468,3.0325,0.3863,-2.7723,0.9658,2.1233,1.5371,0,0.4375,0.8741,"BE"
"HD 48917              ",0.74698612,0.43315662,1.24637055,0.035,0.0034,0.0063,0.0024,0.0248,0.004,0.0072,0.0077,0.0174,0.0041,8e-04,0.0021,-0.0929,-0.82,2.3285,-1.6066,1.9575,-1.34,-1.6872,1.7542,-1.7162,0.1784,2.0337,0,0.5447,0.7958,"BE"
"HIP 39172             ",0.59107605,7.36865505,12.20855021,0.0148,0.0023,0.0055,0.0069,0.0088,0.0023,0.0043,0.003,0.0081,0.0015,0.0021,6e-04,-2.638,-2.5729,-2.3438,0.9976,1.9127,1.8675,1.9985,-1.6915,-1.0186,2.761,0.1382,1e-04,0.401,0.8934,"BE"
"HD 166596             ",1.26462116,1.45899198,1.37359628,0.0274,0.0052,0.0062,0.0014,0.0107,0.0046,0.0022,0.0019,0.0079,0.0054,0.0082,0.0033,-0.692,-2.7327,-2.7426,0.4619,0.9561,3.1276,-2.3823,-1.1013,-1.3267,-1.6222,2.7833,0,0.3685,0.9339,"BE"
"                      ",0.0022621,1.59841759,6.00724512,0.0302,0.0132,0.0085,0.0022,0.0088,0.001,0.0021,0.0013,0.0087,0.0015,0.0031,9e-04,0.8353,1.579,0.9483,-0.2067,0.1299,-0.4356,-0.4502,0.2825,0.7283,-2.9924,2.9328,0,0.1343,0.9689,"BE"
"HIP 16826             ",12.10461264,0.34825075,2.60209627,0.0057,0.0018,3e-04,6e-04,0.0058,0.0015,0.001,0.0025,0.003,4e-04,6e-04,0.001,-1.713,-2.4297,0.1063,-1.6516,2.0934,-1.6806,1.9635,1.399,-1.5331,0.2988,1.9258,-1e-04,0.6147,0.8333,"BE"
"HD 205637             ",0.35739588,2.31565898,2.67305486,0.0396,0.0066,0.0162,0.0113,0.0205,0.006,0.0026,0.0027,0.0165,0.0031,0.0023,0.0048,-3.0802,1.6387,1.0372,-0.2502,-2.9218,0.0714,1.168,-0.9858,1.0321,1.1094,-3.0455,-1e-04,0.3108,0.9116,"BE"
"HIP 80569             ",0.00141978,2.0810766,4.06779214,0.0657,0.0123,0.0144,0.0185,0.0149,0.0036,0.0043,0.0022,0.0082,5e-04,0.0032,0.0031,0.363,-0.9301,-0.2338,2.538,-1.0743,2.0125,-0.7536,-1.3066,1.5937,-2.3618,-0.3107,1e-04,0.2132,0.9538,"BE"
"HD 30076              ",0.06532515,0.2270157,2.36587352,0.0269,0.0011,0.006,0.0021,0.0208,0.0055,0.0078,7e-04,0.0115,0.0023,0.0037,0.0027,-1.3934,1.6721,0.7675,3.1265,-0.9404,-1.0723,-0.0885,1.698,-1.2472,1.4916,2.9302,1e-04,0.4187,0.9261,"BE"
"HIP 61281             ",0.89232556,4.2494718,12.48730685,0.0049,9e-04,0.0015,0.0014,0.0039,0.001,5e-04,0.0011,0.0028,6e-04,0.0012,7e-04,-0.1918,0.0104,1.1664,2.2174,1.0929,-1.2923,1.5111,2.2839,0.9142,2.0241,-3.1149,0,0.6872,0.6331,"BE"
"HIP 95929             ",11.10259215,1.2790318,2.60712539,0.0308,0.0043,0.0095,0.0052,0.0183,0.0024,0.0046,0.0022,0.0127,0.0015,0.001,0.0021,-1.3079,0.1831,-1.9273,-1.3251,3.0355,-2.014,2.8938,-1.643,0.2775,0.0842,-1.5558,0,0.3796,0.8771,"BE"
"HIP 59173             ",0.7721478,8.2974124,0.95693458,0.0153,0.0033,5e-04,0.0021,0.0037,7e-04,9e-04,0.0014,0.0026,8e-04,8e-04,8e-04,0.0331,-1.2835,-0.8013,0.1699,-1.4339,0.8785,-1.8268,2.5127,1.2031,-2.7949,2.7514,0,0.2538,0.8117,"BE"
"HIP 20922             ",0.08076448,1.52972089,2.83482407,0.0222,0.0096,0.0129,0.0134,0.0184,0.0077,0.0041,0.0028,0.0112,0.0034,0.0023,0.0064,1.9602,-2.3997,0.3487,-1.1563,0.2757,-0.3775,0.0086,-0.952,-1.173,0.9527,1.8116,0,0.5699,0.8411,"BE"
"HIP 59196             ",0.3988271,0.24925628,11.53170576,0.0174,0.0026,0.0023,0.0062,0.0155,0.0039,0.0032,0.0044,0.011,0.0017,3e-04,0.0022,-1.1936,-1.059,1.6523,-0.5492,-0.9008,-1.184,3.1347,2.7948,-1.3831,1.2282,0.4497,-1e-04,0.5845,0.7445,"BE"
"HIP 31137             ",14.01959194,10.2786741,1.89709307,0.0036,0.0012,5e-04,9e-04,0.0039,0.0011,5e-04,8e-04,0.0031,9e-04,0.0013,9e-04,-0.7721,2.0214,2.8395,0.8328,-0.5988,-2.7324,2.5257,-1.1826,-0.5765,1.9201,2.0535,0,0.6854,0.6274,"BE"
"HIP 59232             ",0.03963107,0.02868619,0.43576529,0.0595,0.0213,0.03,0.0034,0.0557,0.0251,0.0315,0.0225,0.0156,0.0093,0.0038,0.0046,-0.7112,-2.6782,-2.1067,2.3887,-1.562,0.4478,2.2141,-2.1553,-0.0689,-2.5865,0.0381,1e-04,0.3753,0.9588,"BE"
"HIP 113327            ",0.14836439,0.55338013,1.19583082,0.0459,0.0366,0.0186,0.0089,0.0278,0.0072,0.0014,0.0053,0.0195,0.0016,0.0037,0.0049,-1.1903,-3.0458,-1.3777,1.5532,2.1063,2.7357,0.1974,-1.5698,-0.2321,-2.1987,-2.989,-1e-04,0.3442,0.8873,"BE"
"                      ",0.68055036,2.94170162,4.9135736,0.0225,0.0038,0.0026,0.0048,0.0095,0.0024,0.0029,0.0032,0.0071,0.002,3e-04,0.002,3.0712,-1.821,-0.6273,2.9395,2.6369,-0.3914,-2.6571,-2.6601,2.4581,0.8119,0.6395,0,0.3159,0.8961,"BE"
"HIP 76013             ",0.41848618,1.4183008,2.01087793,0.0231,0.0069,0.0061,0.0022,0.0201,0.0073,0.0022,0.0033,0.0133,0.0057,0.0034,0.0012,-0.4361,2.8349,-0.4219,1.947,1.5588,2.2323,-0.3357,0.7851,-0.2428,-1.7082,-1.9547,1e-04,0.6391,0.759,"BE"
"HD 54309              ",0.00122865,0.04804025,0.15517862,0.1029,0.0308,0.0132,0.0088,0.0084,0.0283,0.024,0.0012,0.0315,0.0058,0.0033,0.007,2.5248,0.175,-2.5608,2.6433,-0.6837,-1.9532,2.1508,-1.4771,2.3949,0.3947,0.0489,-1e-04,0.1011,0.9801,"BE"
"HIP 29771             ",4.37141476,2.58763941,0.54625617,0.0104,0.0034,0.0019,0.0015,0.0076,0.0012,0.0015,0.0035,0.0095,0.001,0.0032,0.0034,-1.8263,-0.4486,-2.1483,0.6982,-2.8377,-1.0945,2.0989,-0.9792,-2.4418,-0.9982,0.7953,0,0.6281,0.7403,"BE"
"HD 157042             ",1.76814413,2.84635272,3.5631561,0.013,0.0044,0.0091,0.0031,0.0113,0.003,0.0017,0.0041,0.0072,1e-04,0.0021,0.0019,-1.4472,-0.8459,-2.0367,0.8575,0.3809,-2.9,0.5015,-1.0023,-0.5446,2.5092,-2.3587,0,0.5088,0.8541,"BE"
